Fluence,bO
4.3609E+04,3.6211E+09
6.0277E+04,5.0052E+09
8.3316E+04,6.9183E+09
1.1516E+05,9.5625E+09
1.5918E+05,1.3218E+10
2.2002E+05,1.8269E+10
3.0411E+05,2.5252E+10
4.2035E+05,3.4904E+10
5.8102E+05,4.8245E+10
8.0309E+05,6.6686E+10
1.1101E+06,9.2174E+10
1.5343E+06,1.2740E+11
2.1208E+06,1.7610E+11
2.9314E+06,2.4341E+11
4.0518E+06,3.3644E+11
5.6005E+06,4.6504E+11
7.7411E+06,6.4278E+11
1.0700E+07,8.8845E+11
1.4790E+07,1.2280E+12
2.0442E+07,1.6974E+12
2.8256E+07,2.3461E+12
3.9056E+07,3.2426E+12
5.3984E+07,4.4818E+12
7.4617E+07,6.1945E+12
1.0314E+08,8.5613E+12
1.4256E+08,1.1832E+13
1.9705E+08,1.6352E+13
2.7236E+08,2.2596E+13
3.7646E+08,3.1221E+13
5.2035E+08,4.3132E+13
7.1924E+08,5.9575E+13
9.9415E+08,8.2259E+13
1.3741E+09,1.1353E+14
1.8994E+09,1.5656E+14
2.6253E+09,2.1564E+14
3.6288E+09,2.9644E+14
5.0157E+09,4.0621E+14
6.9329E+09,5.5361E+14
9.5827E+09,7.4762E+14
1.3245E+10,9.9414E+14
1.8308E+10,1.2890E+15
2.5306E+10,1.6078E+15
3.4978E+10,1.9014E+15
4.8347E+10,2.1153E+15
6.6827E+10,2.2287E+15
9.2369E+10,2.2690E+15
1.2767E+11,2.2787E+15
1.7647E+11,2.2819E+15
2.4392E+11,2.2853E+15
3.3716E+11,2.2899E+15
4.6602E+11,2.2963E+15
6.4415E+11,2.3050E+15
8.9035E+11,2.3171E+15
1.2307E+12,2.3336E+15
1.7010E+12,2.3562E+15
2.3512E+12,2.3869E+15
3.2499E+12,2.4283E+15
4.4921E+12,2.4837E+15
6.2090E+12,2.5564E+15
8.5822E+12,2.6499E+15
1.1862E+13,2.7670E+15
1.6397E+13,2.9094E+15
2.2664E+13,3.0793E+15
3.1326E+13,3.2824E+15
4.3299E+13,3.5314E+15
5.9849E+13,3.8456E+15
8.2725E+13,4.2454E+15
1.1434E+14,4.7519E+15
1.5805E+14,5.3910E+15
2.1846E+14,6.2000E+15
3.0196E+14,7.2382E+15
4.1737E+14,8.6101E+15
5.7689E+14,1.0512E+16
7.9739E+14,1.3328E+16
1.1022E+15,1.7819E+16
1.5234E+15,2.5369E+16
2.1057E+15,3.7476E+16
2.9106E+15,5.1151E+16
4.0231E+15,5.7874E+16
5.5607E+15,5.9183E+16
7.6862E+15,5.9321E+16
1.0624E+16,5.9328E+16
1.4685E+16,5.9328E+16
2.0297E+16,5.9328E+16
2.8055E+16,5.9328E+16
3.8779E+16,5.9328E+16
5.3601E+16,5.9328E+16
7.4088E+16,5.9328E+16
1.0241E+17,5.9326E+16
1.4155E+17,5.9325E+16
1.9565E+17,5.9322E+16
2.7043E+17,5.9319E+16
3.7379E+17,5.9315E+16
5.1666E+17,5.9310E+16
7.1414E+17,5.9304E+16
9.8709E+17,5.9298E+16
1.3644E+18,5.9291E+16
1.8859E+18,5.9284E+16
2.6067E+18,5.9278E+16
3.6030E+18,5.9271E+16
