Fluence,bO2-
9.0717E+09,9.4348E+07
1.1195E+10,1.2202E+08
1.3815E+10,1.5617E+08
1.7049E+10,1.9831E+08
2.1039E+10,3.6798E+08
2.5964E+10,1.0094E+09
3.2041E+10,1.8010E+09
3.9540E+10,2.7778E+09
4.8795E+10,3.9832E+09
6.0216E+10,5.4708E+09
7.4310E+10,7.3066E+09
9.1702E+10,9.5721E+09
1.1317E+11,1.2368E+10
1.3965E+11,1.5818E+10
1.7234E+11,2.0075E+10
2.1268E+11,3.9912E+10
2.6246E+11,1.0475E+11
3.2389E+11,1.8476E+11
3.9969E+11,2.8350E+11
4.9325E+11,4.0535E+11
6.0869E+11,5.5572E+11
7.5116E+11,7.4128E+11
9.2698E+11,9.7028E+11
1.1439E+12,1.2529E+12
1.4117E+12,1.6016E+12
1.7421E+12,2.0320E+12
2.1499E+12,2.7969E+12
2.6531E+12,4.3203E+12
3.2740E+12,6.3518E+12
4.0403E+12,9.0892E+12
4.9860E+12,1.2818E+13
6.1530E+12,1.7955E+13
7.5932E+12,2.5109E+13
9.3704E+12,3.5289E+13
1.1564E+13,5.1152E+13
1.4270E+13,7.4562E+13
1.7610E+13,1.0956E+14
2.1732E+13,1.6269E+14
2.6819E+13,2.4338E+14
3.3096E+13,3.6609E+14
4.0842E+13,5.5276E+14
5.0401E+13,8.3699E+14
6.2198E+13,1.2696E+15
7.6756E+13,1.9286E+15
9.4721E+13,2.9320E+15
1.1689E+14,4.4607E+15
1.4425E+14,6.7893E+15
1.7801E+14,1.0337E+16
2.1968E+14,1.5743E+16
2.7110E+14,2.3979E+16
3.3455E+14,3.6530E+16
4.1285E+14,5.5659E+16
5.0948E+14,8.4822E+16
6.2873E+14,1.2929E+17
7.7589E+14,1.9713E+17
9.5750E+14,3.0064E+17
1.1816E+15,4.5864E+17
1.4582E+15,6.9993E+17
1.7995E+15,1.0687E+18
2.2206E+15,1.6327E+18
2.7404E+15,2.4959E+18
3.3818E+15,3.8187E+18
4.1733E+15,5.8475E+18
5.1502E+15,8.9632E+18
6.3556E+15,1.3754E+19
7.8432E+15,2.1127E+19
9.6789E+15,3.2488E+19
1.1944E+16,4.9999E+19
1.4740E+16,7.6980E+19
1.8190E+16,1.1848E+20
2.2447E+16,1.8207E+20
2.7702E+16,2.7883E+20
3.4185E+16,4.2450E+20
4.2187E+16,6.4022E+20
5.2061E+16,9.5240E+20
6.4246E+16,1.3904E+21
7.9283E+16,1.9809E+21
9.7840E+16,2.7394E+21
1.2074E+17,3.6604E+21
1.4900E+17,4.7112E+21
1.8387E+17,5.8339E+21
2.2691E+17,6.9550E+21
2.8002E+17,7.9995E+21
3.4556E+17,8.9024E+21
4.2645E+17,9.6175E+21
5.2626E+17,1.0123E+22
6.4943E+17,1.0423E+22
8.0144E+17,1.0550E+22
9.8902E+17,1.0558E+22
1.2205E+18,1.0506E+22
1.5062E+18,1.0446E+22
1.8587E+18,1.0402E+22
2.2938E+18,1.0380E+22
2.8306E+18,1.0372E+22
3.4932E+18,1.0371E+22
4.3107E+18,1.0372E+22
5.3197E+18,1.0372E+22
6.5648E+18,1.0373E+22
8.1014E+18,1.0373E+22
9.9976E+18,1.0373E+22
